# P45 清单：29（含归档）承诺 ↔ 实现逐条对账（157 条）
# 生成：python3 tmp/p45-shots/p45-scan.py run docs/work/evidence/EV-193-claims.json docs/work/evidence/EV-193-claim-matrix.tsv
# 统计：承接 152 / 缺口 0 / 漂移 5
# 列：id | § | 状态 | 承接点（file:line）| 可检验承诺 | 备注/漂移证据
C01	§0	承接	docs/design/29-webui-gui-app.md:10	用户原话（不是账本投影/只读路由，而是完整 GUI app）逐字留在主文件 §0	
C02	§0	承接	docs/design/29-webui-gui-app-archive.md:174；docs/design/29-webui-gui-app-archive.md:175	归档 §0 保留另两条原话（Teams 对照判据 + 「人类可用、易用、功能完善的产品」）	
C03	§1	承接	docs/work/functional-requirements.md:111；docs/work/acceptance-criteria.md:108	判定标准「双方仅通过 GUI 走完全部业务流程」进了硬需求（FR/AC）	
C04	§1	承接	docs/design/29-webui-gui-app.md:23；src/system/webui/code/assets/app.js:12	允许前端框架：交互能力来自真实前端资产（不再靠「零内联脚本」判据）	
C05	§1	承接	src/system/webui/code/ui-surface.mjs:319；src/system/webui/code/ui-surface.mjs:287	外壳给机制（面板/动作/通知/深链），业务功能由插件注册进来	
C06	§2	承接	—	旧 UI 快照门（refresh-ui-snapshots.py）已删且不复活	
C07	§2	承接	—	旧 seed 门（ui-seed-pipeline.py）已删且不复活	
C08	§2	承接	—	旧 ui-mutate 变异门已删且不复活	
C09	§2	承接	docs/work/acceptance-criteria.md:108	AC-UXWEB-001 已按 §1/§4 重建（旧的「三块第一屏锚点 + 0 内联脚本」判据删除）	
C10	§3	承接	src/system/webui/code/app-shell.mjs:3461	外壳 = src/system/webui/code/ 的应用壳 + 动作总线（runAction → 插件服务端一半）	
C11	§3	承接	src/system/webui/code/app-shell.mjs:161；src/system/approval/code/ui.mjs:721	写路径不可绕过：GUI 动作只发起，落账仍走唯一写者（host.writerReceipt 派生回执）	
C12	§3	承接	src/system/webui/code/app-shell.mjs:1935	一切注册可撤销：插件卸载 ⇒ 其 UI 贡献被 dispose	
C13	§4	承接	src/domain/rfq/code/ui.mjs:731	承包商流程可点：发包动作 rfq.publish	
